i,t
7,1
13,1
20,1
28,1
29,0
41,1
47,1
49,1
50,13
53,1
55,1
57,1
60,1
64,0
67,0
78,1
79,1
83,1
84,1
87,1
109,4
113,1
117,1
119,1
122,3
123,0
125,1
134,1
139,1
140,1
142,1
147,1
154,1
163,1
164,1
175,1
188,1
189,1
200,1
203,1
204,8
205,1
206,1
209,1
211,1
212,1
214,1
220,1
223,1
225,1
227,4
233,1
234,1
235,1
243,1
254,1
265,9
279,1
284,0
287,1
291,1
294,1
302,0
303,12
304,1
309,14
310,14
316,6
319,2
327,1
328,1
338,12
346,1
349,1
353,1
354,1
360,13
363,8
367,1
370,1
391,1
396,1
397,1
408,15
409,3
410,10
411,1
414,1
415,1
417,1
421,1
429,1
432,5
438,1
441,4
446,5
448,1
451,1
453,1
455,9
458,8
468,1
469,1
476,1
477,1
479,1
486,1
490,1
491,1
499,1
502,1
510,0
521,1
523,1
546,1
547,3
552,1
553,1
555,2
557,1
558,1
562,1
566,2
568,1
569,1
570,1
574,1
578,1
579,1
580,1
581,1
583,1
585,1
586,1
587,1
588,1
591,1
595,1
596,1
597,1
599,1
601,1
603,1
610,14
611,9
613,1
614,1
635,1
647,1
649,1
653,1
657,9
661,1
665,1
667,1
672,1
682,1
684,1
689,1
696,1
699,5
703,1
704,1
705,1
708,1
709,1
711,1
714,1
717,12
718,1
723,1
728,1
731,5
735,1
737,1
743,1
752,11
756,1
757,2
758,1
760,1
761,1
764,1
779,1
783,1
787,1
790,14
792,1
804,0
806,1
808,1
810,1
816,1
827,1
829,1
830,4
835,1
843,1
846,1
849,1
851,1
852,1
860,5
863,2
887,1
891,1
893,1
908,1
909,1
921,1
952,1
962,1
966,1
967,10
973,1
976,1
981,1
988,1
993,1
1000,1
1021,1
1025,1
1027,1
1038,1
1041,1
1049,1
1065,1
1066,1
1068,1
1070,1
1084,1
1087,1
1088,1
1090,1
1091,2
1093,13
1094,1
1095,1
1097,1
1099,1
1102,11
1103,1
1104,1
1105,1
1108,1
1111,2
1113,1
1115,1
1116,1
1117,1
1118,1
1119,1
1122,8
1123,1
1124,1
1125,10
1126,3
1129,1
1135,1
1140,1
1146,1
1152,1
1153,1
1156,6
1158,1
1159,1
1161,1
1162,14
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1175,1
1176,1
1177,1
1178,1
1180,1
1181,1
1182,1
1184,1
1187,1
1188,1
1190,1
1191,1
1192,10
1194,1
1195,1
1199,1
1200,1
1201,1
1202,12
1205,1
1207,5
1209,1
1210,1
1214,1
1215,11
1216,1
1217,1
1219,15
1221,1
1222,1
1224,1
1226,1
1227,1
1229,1
